# Добавить сюда своих вопросов. Эту строку надо пропустить при настройке CsvToBean (withSkipLines)
Is there life on Mars?;Science doesn't know this yet%true|Certainly. The red UFO is from Mars. And green is from Venus%false|Absolutely not%false
How should resources be loaded form jar in Java?;ClassLoader#geResourceAsStream or ClassPathResource#getInputStream%true|ClassLoader#geResource#getFile + FileReader%false|Wingardium Leviosa%false
Which option is a good way to handle the exception?;@SneakyThrow%false|e.printStackTrace()%false|Rethrow with wrapping in business exception (for example, QuestionReadException)%true|Ignoring exception%false
What command shows the commit history in Git?;git log%true|git history%false|git show-commits%false
What is the default value of a boolean in Java?;true%false|false%true|null%false
Which collection does not allow duplicate elements?;List%false|Set%true|Queue%false
What is the time complexity of a binary search?;O(n)%false|O(log n)%true|O(1)%false
Which keyword is used to create a subclass in Java?;implements%false|extends%true|super%false
In Spring, which annotation is used to mark a method as transactional?;@Transactional%true|@Transaction%false|@EnableTransaction%false
Which data structure uses LIFO (Last-In-First-Out) principle?;Stack%true|Queue%false|Tree%false
What is the main difference between == and .equals() in Java?;== compares object references, while .equals() compares object content%true|== compares object content, while .equals() compares object references%false|Both == and .equals() compare object content%false
What is the purpose of the final keyword in Java?;To create an immutable variable, method, or class%true|To define a static variable%false|To indicate a volatile variable%false
